"Draft Planner Cheat Sheet",ADP2,Average Draft Position from Draft Planner,08/07/2014,387
Rank,ID,"Last Name","First Name",Position,Team,ADP,"Bye Week"
115,10362,Shorts,Cecil,WR,JAC,116.08,11
116,11654,Hill,Jeremy,RB,CIN,116.82,4
117,11695,Ebron,Eric,TE,DET,118.91,9
118,10313,Dalton,Andy,QB,CIN,119.92,4
119,10744,Green,Ladarius,TE,SDC,121.53,10
120,10738,Jones,Marvin,WR,CIN,122.29,4
121,6982,Boldin,Anquan,WR,SFO,123.09,8
122,10409,Clay,Charles,TE,MIA,123.46,5
123,530,49ers,San Francisco,D,SFO,123.64,8
124,9308,Amendola,Danny,WR,NEP,125.48,10
125,9044,Bennett,Martellus,TE,CHI,125.64,9
126,11466,Robinson,Khiry,RB,NOR,125.74,6
127,11227,Stills,Kenny,WR,NOR,125.97,6
128,7401,Roethlisberger,Ben,QB,PIT,126.48,12
129,11673,Benjamin,Kelvin,WR,CAR,126.66,12
130,8268,Williams,Deangelo,RB,CAR,129.68,12
131,527,Panthers,Carolina,D,CAR,131.61,12
132,11676,Matthews,Jordan,WR,PHI,132.07,7
133,11212,Hunter,Justin,WR,TEN,133.60,9
134,10930,Boykin,Jarrett,WR,GBP,137.48,9
135,528,Rams,St. Louis,D,STL,138.21,4
136,11650,Mason,Tre,RB,STL,139.36,4
137,511,Broncos,Denver,D,DEN,141.61,4
138,11229,Wheaton,Markus,WR,PIT,145.18,12
139,504,Patriots,New England,D,NEP,146.55,10
140,10697,Tannehill,Ryan,QB,MIA,148.37,5
141,8930,Prater,Matt,K,DEN,148.75,4
142,8359,Gostkowski,Stephen,K,NEP,148.78,10
143,11214,Dobson,Aaron,WR,NEP,148.97,10
144,10077,Ivory,Chris,RB,NYJ,149.04,11
145,512,Chiefs,Kansas City,D,KCC,149.37,6
146,8293,Jennings,Greg,WR,MIN,149.48,10
147,11641,Manziel,Johnny,QB,CLE,149.88,4
148,11250,Eifert,Tyler,TE,CIN,151.92,4
149,11658,Williams,Andre,RB,NYG,152.49,8
150,506,Bengals,Cincinnati,D,CIN,153.09,4
151,7391,Manning,Eli,QB,NYG,153.25,8
152,11194,Davis,Knile,RB,KCC,153.40,6
153,4974,Smith,Steve,WR,BAL,153.56,11
154,10276,Ingram,Mark,RB,NOR,153.65,6
155,8776,Jones,James,WR,OAK,154.43,5
156,8416,Walker,Delanie,TE,TEN,154.72,9
157,519,Cardinals,Arizona,D,ARZ,154.92,4
158,11679,Beckham,Odell,WR,NYG,155.48,8
159,6929,Palmer,Carson,QB,ARZ,155.53,4
160,7842,Miller,Heath,TE,PIT,155.85,12
161,9898,Blount,LeGarrette,RB,PIT,156.66,12
162,9545,Hartline,Brian,WR,MIA,156.83,5
163,7236,Gates,Antonio,TE,SDC,157.06,10
164,8917,Bradshaw,Ahmad,RB,IND,157.31,10
165,11672,Lee,Marqise,WR,JAC,157.64,11
166,11228,Woods,Robert,WR,BUF,159.65,9
167,11675,Adams,Davante,WR,GBP,160.13,9
168,7813,Smith,Alex,QB,KCC,160.21,6
169,9064,Flacco,Joe,QB,BAL,162.83,11
170,9467,Britt,Kenny,WR,STL,162.88,4
171,11678,Robinson,Allen,WR,JAC,163.06,11
172,9565,Brown,Andre,RB,HOU,163.30,10
173,10742,Allen,Dwayne,TE,IND,163.67,10
174,10976,Tucker,Justin,K,BAL,165.20,11
175,9101,Stewart,Jonathan,RB,CAR,165.23,12
176,10998,Asiata,Matt,RB,MIN,165.60,10
177,6589,McCown,Joshua,QB,TBB,165.64,7
178,11640,Bridgewater,Teddy,QB,MIN,165.67,10
179,9474,Cook,Jared,TE,STL,166.70,4
180,11697,Seferian-Jenkins,Austin,TE,TBB,168.17,7
181,9319,Hauschka,Steven,K,SEA,168.18,4
182,11652,Carey,Ka'Deem,RB,CHI,168.51,9
183,532,Texans,Houston,D,HOU,168.57,10
184,11747,White,James,RB,NEP,168.90,10
185,11198,Lattimore,Marcus,RB,SFO,169.04,8
186,11758,Latimer,Cody,WR,DEN,169.69,4
187,10961,Dunbar,Lance,RB,DAL,171.56,11
188,9817,Bradford,Sam,QB,STL,171.61,4
189,521,Bears,Chicago,D,CHI,172.12,9
190,11696,Amaro,Jace,TE,NYJ,172.68,11
191,10527,Baldwin,Doug,WR,SEA,172.76,4
192,10355,Helu,Roy,RB,WAS,173.17,10
193,11677,Moncrief,Donte,WR,IND,173.99,10
194,10743,Fleener,Coby,TE,IND,174.14,10
195,11656,Sims,Charles,RB,TBB,174.41,7
196,10905,Brown,Bryce,RB,BUF,174.81,9
197,507,Browns,Cleveland,D,CLE,174.89,4
198,11454,Anderson,C.J.,RB,DEN,174.97,4
199,8510,Austin,Miles,WR,CLE,175.80,4
200,11154,Manuel,E.J.,QB,BUF,176.43,9
201,3494,Dawson,Phil,K,SFO,176.84,8
202,10506,Bailey,Dan,K,DAL,177.01,11
203,8742,Crosby,Mason,K,GBP,177.77,9
204,10601,Hawkins,Andrew,WR,CLE,177.93,4
205,11642,Bortles,Blake,QB,JAC,179.11,11
206,525,Buccaneers,Tampa Bay,D,TBB,179.20,7
207,9856,McCluster,Dexter,RB,TEN,179.57,9
208,9936,Graham,Garrett,TE,HOU,180.28,10
209,11390,Murray,Latavius,RB,OAK,180.39,5
210,9269,Johnson,Steve,WR,SFO,181.27,8
211,11244,Kelce,Travis,TE,KCC,183.42,6
212,10955,Streater,Rod,WR,OAK,183.85,5
213,523,Packers,Green Bay,D,GBP,184.21,9
214,9632,Myers,Brandon,TE,TBB,184.33,7
215,9144,Douglas,Harry,WR,ATL,185.07,9
216,529,Saints,New Orleans,D,NOR,185.80,6
217,10872,Walsh,Blair,K,MIN,186.03,10
218,2842,Vinatieri,Adam,K,IND,187.18,10
219,501,Bills,Buffalo,D,BUF,188.17,9
220,9458,Greene,Shonn,RB,TEN,188.48,9
221,9456,Brown,Donald,RB,SDC,189.27,10
222,11150,Smith,Geno,QB,NYJ,189.46,11
223,10279,Locker,Jake,QB,TEN,189.76,9
224,6789,Bryant,Matt,K,ATL,190.53,9
225,6475,Graham,Shayne,K,NOR,191.03,6
226,10388,Moore,Denarius,WR,OAK,192.86,5
227,11761,McKinnon,Jerick,RB,MIN,193.21,10
228,531,Ravens,Baltimore,D,BAL,193.60,11
229,8153,Gould,Robbie,K,CHI,193.69,9
230,11668,Crowell,Isaiah,RB,CLE,194.73,4
231,10300,Rodgers,Jacquizz,RB,ATL,195.88,9
232,11785,Rodgers,Richard,TE,GBP,196.00,9
233,9150,Finley,Jermichael,TE,FA,196.14,
234,10868,Zuerlein,Greg,K,STL,197.13,4
235,7498,Cotchery,Jerricho,WR,CAR,197.54,12
236,510,Steelers,Pittsburgh,D,PIT,198.29,12
237,4891,Vick,Michael,QB,NYJ,198.69,11
238,9987,Starks,James,RB,GBP,199.48,9
239,11688,Bryant,Martavis,WR,PIT,199.91,12
240,10674,Holmes,Andre,WR,OAK,200.33,5
